"market_block","indicator_name","exact_definition","preferred_unit","original_unit","geography","frequency","preferred_frequency_for_research","source_name","source_url","source_type","free_or_paid","historical_start_date","expected_publication_lag","raw_or_derived","derivation_formula","source_series_code/table/API","availability_status","collection_method","notes_on_methodology","known_breaks","last_checked_date"
"exchange_market","LME copper cash price","Copper Grade A official cash seller and settlement price; existing project series","USD/metric tonne","USD/metric tonne","global/London","daily","daily","Existing Westmetall-backed LME collector","data/raw/lme/copper_lme_raw.csv","existing project collector","already collected","2008-01-02","same/next business day","raw","","copper_lme_raw.csv cash columns","A","reuse existing immutable raw and standardized pipeline","Do not reacquire or classify as missing; user has already collected this series","Westmetall/LME redistribution and field naming must remain documented","2026-09-01"
"exchange_market","LME copper three-month price","Copper Grade A three-month seller and settlement price; existing project series","USD/metric tonne","USD/metric tonne","global/London","daily","daily","Existing Westmetall-backed LME collector","data/raw/lme/copper_lme_raw.csv","existing project collector","already collected","2008-01-02","same/next business day","raw","","copper_lme_raw.csv 3M columns","A","reuse existing immutable raw and standardized pipeline","Do not reacquire or classify as missing","Westmetall/LME redistribution and field naming must remain documented","2026-09-01"
"exchange_market","LME visible stock","Exchange-reported copper stocks represented in the existing project series","metric tonnes","metric tonnes","LME warehouse network","daily","daily","Existing Westmetall-backed LME collector","data/raw/lme/copper_lme_raw.csv","existing project collector","already collected","2008-01-02","same/next business day","raw","","copper_lme_raw.csv stock column","A","reuse existing immutable raw and standardized pipeline","Keep separate from broader ICSG world refined stocks","Coverage is the existing collector's published stock field","2026-09-01"
"exchange_market","LME cash-to-three-month spread","Cash price minus three-month price using matched observation dates","USD/metric tonne","USD/metric tonne","global/London","daily","daily","Existing LME series","data/raw/lme/copper_lme_raw.csv","project derivation","free from existing data","2008-01-02","after both legs are available","derived","LME cash price - LME three-month price","lme_cash_3m_spread","A","derive only in interim or processed data","Positive means backwardation under this sign convention","Missing one leg produces missing spread; do not forward-fill","2026-09-01"
"exchange_market","COMEX HG contract settlements volume and open interest","Per-expiry COMEX Copper Futures open high low settlement volume and open interest; preserve individual maturities","USD/pound and contracts","US cents/pound or USD/pound; contracts","United States/COMEX","daily","daily","CME Group Daily Bulletin metals page 62","https://www.cmegroup.com/market-data/daily-bulletin.html","official exchange bulletin","free delayed; historical archive/DataMine terms apply","daily bulletins identifiable from at least 2011; contract history older","preliminary near 00:00 CT; final next business morning","raw","","Section62_Metals_Futures_Products.pdf; product HG","A/B","download current bulletin daily; backfill dated bulletin PDFs or free midnight DataMine files; preserve raw PDF/ZIP","Current official bulletin is clean and parseable and contains settlement volume and OI by expiry","FTP retired 2024-01-08; archive delivery moved to CME DataMine; historical file access terms may change","2026-09-01"
"exchange_market","COMEX copper continuous nearby and deferred series","Research roll series built from HG maturity-level settlements under an explicit deterministic roll rule","USD/metric tonne","USD/pound","United States/COMEX","daily","daily","CME HG maturity-level bulletin data","https://www.cmegroup.com/markets/metals/base/copper.contractSpecs.html","project derivation from official exchange data","free when built from collected bulletins","depends on successful historical HG backfill","after daily bulletin","derived","selected HG settlement * 2204.62262185; roll by documented calendar or liquidity rule","comex_hg_continuous_nearby; comex_hg_continuous_deferred","B","derive from immutable per-expiry observations; retain roll flags and source contract","Do not substitute CME licensed Continuous Price Series without recording its different methodology","CME HGCP1/HGCPA licensed product starts 2010; project-built series has a methodology break at every roll","2026-09-01"
"exchange_market","COMEX copper warehouse stocks","Copper stocks in COMEX-approved depositories as reported by CME","metric tonnes","short tons or pounds by report","United States/COMEX depositories","daily","daily","CME NYMEX and COMEX delivery notices and depository reports","https://www.cmegroup.com/solutions/clearing/operations-and-deliveries/nymex-delivery-notices.html","official exchange report","free","report archive varies","daily","raw","","Copper_Stocks.xls/report equivalent","A/B","download each dated XLS/PDF and convert units in standardized layer","Keep registered/eligible/total fields if supplied; do not mix with futures OI","Report format and website endpoints have changed","2026-09-01"
"exchange_market","SHFE copper contract settlements volume and open interest","Per-expiry SHFE copper futures daily open high low close settlement volume and open interest","CNY/metric tonne and contracts","CNY/metric tonne and lots","China/SHFE","daily","daily","Shanghai Futures Exchange statistical data","https://www.shfe.com.cn/eng/reports/StatisticalData/DailyData/","official exchange web data and downloads","free delayed","contract-dependent; long official history available","same/next trading day","raw","","query_params=kx; copper product code cu_f","A","request dated Daily Express or official data-download payload; save raw response","SHFE volume and OI may be double-side counted; preserve source convention and lots","Website/API endpoints and product-code parameters can change; copper contract is 5 tonnes per lot","2026-09-01"
"exchange_market","SHFE copper weekly inventory and daily warrants","Exchange copper inventory and warehouse-receipt quantities","metric tonnes","metric tonnes","China/SHFE warehouses","daily and weekly","weekly plus daily warrant","Shanghai Futures Exchange inventory and warrant reports","https://www.shfe.com.cn/eng/reports/index.html","official exchange reports","free","weekly inventory publicly available since at least late 1990s","same day/weekly release","raw","","Daily Warrant; Weekly Inventory; product copper","A","download dated official report/download object and retain raw","Do not treat warehouse warrants as identical to weekly inventory","Publication formats and warehouse definitions have changed","2026-09-01"
"exchange_market","LME-SHFE price ratio and import-arbitrage components","Matched LME and SHFE copper prices with CNY/USD FX and explicit VAT/duty treatment; ratio is not itself a physical premium","ratio and CNY/metric tonne","mixed","China versus global","daily","daily","Existing LME plus SHFE plus FRED/PBOC FX","https://fred.stlouisfed.org/series/DEXCHUS","project derivation","free","2008-01-02 constrained by existing LME","after all legs available","derived","SHFE CNY/t divided by LME USD/t and CNY per USD; any import-profit formula must explicitly include VAT duty financing and contract basis","lme_shfe_ratio","A","join same-session observations under documented calendar and derive in processed layer","Store both raw local timestamps and research date; do not label ratio as Yangshan premium","China VAT and duty regimes and SHFE/LME contract bases change","2026-09-01"
